timeSec,value
0,-0.017781
0.0083,0.016398
0.0167,-0.01495
0.025,0.009528
0.0333,-0.002084
0.0417,0.013716
0.05,-0.001195
0.0583,0.002758
0.0667,-0.001806
0.075,0.00397
0.0833,-0.007953
0.0917,0.006683
0.1,0.021155
0.1083,0.022561
0.1167,0.03431
0.125,0.063814
0.1333,0.04446
0.1417,0.073215
0.15,0.084264
0.1583,0.069742
0.1667,0.065201
0.175,0.079538
0.1833,0.066892
0.1917,0.049481
0.2,0.022313
0.2083,0.035108
0.2167,0.003606
0.225,0.021687
0.2333,0.017515
0.2417,-0.008734
0.25,0.018881
0.2583,0.015708
0.2667,-0.00419
0.275,-0.012949
0.2833,0.017305
0.2917,-0.022451
0.3,-0.109606
0.3083,-0.188669
0.3167,0.014247
0.325,0.425474
0.3333,0.803458
0.3417,0.913981
0.35,0.687284
0.3583,0.339957
0.3667,0.087485
0.375,0.018192
0.3833,-0.004246
0.3917,-0.010038
0.4,0.00778
0.4083,0.019969
0.4167,0.018604
0.425,0.018718
0.4333,0.001308
0.4417,0.002476
0.45,-0.010237
0.4583,0.02192
0.4667,0.023364
0.475,-0.000451
0.4833,0.034519
0.4917,0.044618
0.5,0.034991
0.5083,0.044622
0.5167,0.078693
0.525,0.095403
0.5333,0.095532
0.5417,0.141702
0.55,0.129371
0.5583,0.150962
0.5667,0.184144
0.575,0.176255
0.5833,0.181367
0.5917,0.187379
0.6,0.14975
0.6083,0.145646
0.6167,0.1319
0.625,0.112284
0.6333,0.10238
0.6417,0.094764
0.65,0.074031
0.6583,0.04059
0.6667,0.044006
0.675,0.031023
0.6833,0.030292
0.6917,0.015193
0.7,0.018011
0.7083,0.023125
0.7167,-0.006271
0.725,-0.003999
0.7333,0.006499
0.7417,0.012944
0.75,-0.004563
0.7583,0.0145
0.7667,0.004244
0.775,0.003305
0.7833,0.00309
0.7917,-0.017759
0.8,0.018078
0.8083,-0.012043
0.8167,-0.012096
0.825,-0.000538
0.8333,0.005528
0.8417,-0.01628
0.85,0.01882
0.8583,0.006631
0.8667,-0.018812
0.875,-0.009875
0.8833,-0.007475
0.8917,0.01233
0.9,0.016875
0.9083,-0.012449
0.9167,-0.005708
0.925,0.005439
0.9333,0.004544
0.9417,-0.014456
0.95,0.01692
0.9583,-0.014842
0.9667,-0.018436
0.975,0.01525
0.9833,0.016605
0.9917,-0.018076
1,-0.012239
1.0083,-0.001921
1.0167,0.011015
1.025,0.01359
1.0333,-0.004891
1.0417,0.019703
1.05,-0.016689
1.0583,0.005429
1.0667,0.008544
1.075,-0.000023
1.0833,-0.000303
1.0917,-0.00562
1.1,-0.004835
1.1083,0.011381
1.1167,0.0278
1.125,0.038445
1.1333,0.044778
1.1417,0.0857
1.15,0.073214
1.1583,0.061798
1.1667,0.094496
1.175,0.084399
1.1833,0.060314
1.1917,0.04854
1.2,0.021197
1.2083,0.030959
1.2167,0.00081
1.225,0.023661
1.2333,0.01355
1.2417,0.015088
1.25,-0.002744
1.2583,0.006157
1.2667,0.00536
1.275,-0.002051
1.2833,0.002756
1.2917,-0.020417
1.3,-0.100217
1.3083,-0.178961
1.3167,0.018216
1.325,0.430854
1.3333,0.80184
1.3417,0.91425
1.35,0.66052
1.3583,0.334981
1.3667,0.114197
1.375,0.012092
1.3833,-0.00946
1.3917,-0.003947
1.4,-0.001526
1.4083,-0.004946
1.4167,-0.01534
1.425,0.003187
1.4333,0.00305
1.4417,-0.003064
1.45,-0.013633
1.4583,0.008819
1.4667,0.00328
1.475,0.012864
1.4833,0.025922
1.4917,0.050191
1.5,0.004618
1.5083,0.016029
1.5167,-0.00788
1.525,0.003457
1.5333,0.004219
1.5417,0.010256
1.55,0.009933
1.5583,0.023054
1.5667,0.01677
1.575,0.006048
1.5833,0.030118
1.5917,0.065476
1.6,0.050351
1.6083,0.074285
1.6167,0.067008
1.625,0.054925
1.6333,0.073596
1.6417,0.056416
1.65,0.025026
1.6583,-0.004427
1.6667,0.001013
1.675,0.016608
1.6833,-0.012274
1.6917,0.007995
1.7,0.012353
1.7083,-0.043835
1.7167,-0.140468
1.725,-0.048954
1.7333,0.512043
1.7417,0.893716
1.75,0.679474
1.7583,0.218268
1.7667,0.024221
1.775,-0.016363
1.7833,0.009172
1.7917,-0.002539
1.8,0.005909
1.8083,0.000062
1.8167,0.018895
1.825,-0.002276
1.8333,0.015646
1.8417,0.028423
1.85,0.021606
1.8583,0.041853
1.8667,0.065054
1.875,0.108107
1.8833,0.116822
1.8917,0.135609
1.9,0.175094
1.9083,0.171799
1.9167,0.169482
1.925,0.15479
1.9333,0.140569
1.9417,0.136263
1.95,0.097281
1.9583,0.096095
1.9667,0.059965
1.975,0.035525
1.9833,0.028684
1.9917,0.024036
2,0.011259
2.0083,-0.014921
2.0167,0.011089
2.025,0.000631
2.0333,0.00625
2.0417,0.011482
2.05,0.002359
2.0583,0.004499
2.0667,-0.003601
2.075,0.001329
2.0833,0.005956
2.0917,-0.008684
2.1,0.009256
2.1083,0.014973
2.1167,-0.006226
2.125,-0.002328
2.1333,-0.005039
2.1417,0.013376
2.15,0.004982
2.1583,0.018394
2.1667,-0.008524
2.175,0.015129
2.1833,-0.013703
2.1917,0.005825
2.2,0.004271
2.2083,0.016324
2.2167,-0.00806
2.225,-0.010188
2.2333,0.006328
2.2417,-0.009381
2.25,-0.016146
2.2583,-0.001568
2.2667,-0.00207
2.275,0.022783
2.2833,0.020616
2.2917,0.002615
2.3,0.02585
2.3083,0.053952
2.3167,0.06254
2.325,0.062382
2.3333,0.064694
2.3417,0.071016
2.35,0.040316
2.3583,0.036029
2.3667,0.026995
2.375,0.027624
2.3833,-0.005176
2.3917,-0.001
2.4,0.014644
2.4083,0.000585
2.4167,-0.011021
2.425,-0.052118
2.4333,-0.176773
2.4417,0.076738
2.45,0.674518
2.4583,0.920148
2.4667,0.5348
2.475,0.128323
2.4833,-0.001952
2.4917,0.011047
2.5,0.015451
2.5083,-0.007549
2.5167,-0.001035
2.525,0.011101
2.5333,0.022173
2.5417,0.002109
2.55,0.029341
2.5583,0.025116
2.5667,0.040185
2.575,0.043873
2.5833,0.085562
2.5917,0.098726
2.6,0.13768
2.6083,0.157194
2.6167,0.164987
2.625,0.17697
2.6333,0.164966
2.6417,0.186573
2.65,0.127007
2.6583,0.122909
2.6667,0.084164
2.675,0.067741
2.6833,0.031325
2.6917,0.017628
2.7,0.023754
2.7083,0.017879
2.7167,0.012219
2.725,0.003743
2.7333,-0.008027
2.7417,-0.004384
2.75,-0.018266
2.7583,0.002341
2.7667,-0.018012
2.775,0.001878
2.7833,-0.015227
2.7917,-0.019997
2.8,0.014957
2.8083,-0.011816
2.8167,0.014266
2.825,-0.019298
2.8333,0.017537
2.8417,-0.008428
2.85,-0.01135
2.8583,0.008616
2.8667,-0.005355
2.875,0.007682
2.8833,0.005981
