timeSec,value
0,-0.017781
0.0083,0.01644
0.0167,-0.014864
0.025,0.009664
0.0333,-0.001876
0.0417,0.014062
0.05,-0.000541
0.0583,0.004099
0.0667,0.00096
0.075,0.009389
0.0833,0.001821
0.0917,0.022649
0.1,0.044526
0.1083,0.052876
0.1167,0.068573
0.125,0.096441
0.1333,0.068422
0.1417,0.082154
0.15,0.074713
0.1583,0.042391
0.1667,0.024616
0.175,0.032523
0.1833,0.020348
0.1917,0.008667
0.2,-0.009953
0.2083,0.011911
0.2167,-0.011587
0.225,0.012682
0.2333,0.012156
0.2417,-0.027203
0.25,-0.090179
0.2583,-0.143287
0.2667,0.155158
0.275,0.651222
0.2833,0.940244
0.2917,0.683647
0.3,0.274963
0.3083,0.045157
0.3167,0.011435
0.325,0.013958
0.3333,0.007747
0.3417,0.004017
0.35,0.009757
0.3583,0.010053
0.3667,-0.015547
0.375,0.001451
0.3833,0.00155
0.3917,0.003401
0.4,0.028612
0.4083,0.050865
0.4167,0.06289
0.425,0.079801
0.4333,0.082126
0.4417,0.104817
0.45,0.113578
0.4583,0.164776
0.4667,0.180201
0.475,0.162855
0.4833,0.194948
0.4917,0.191968
0.5,0.159352
0.5083,0.137492
0.5167,0.133858
0.525,0.109455
0.5333,0.068001
0.5417,0.074852
0.55,0.027764
0.5583,0.020888
0.5667,0.033007
0.575,0.011968
0.5833,0.011782
0.5917,0.019783
0.6,-0.009569
0.6083,-0.000428
0.6167,0.002536
0.625,0.001549
0.6333,0.010757
0.6417,0.021523
0.65,0.017536
0.6583,-0.001365
0.6667,0.01413
0.675,0.010774
0.6833,0.017421
0.6917,0.007767
0.7,0.014462
0.7083,0.022242
0.7167,-0.00538
0.725,-0.001961
0.7333,0.009258
0.7417,0.01615
0.75,-0.001083
0.7583,0.018151
0.7667,0.008007
0.775,0.007145
0.7833,0.006991
0.7917,-0.013808
0.8,0.022075
0.8083,-0.008003
0.8167,-0.008014
0.825,0.003586
0.8333,0.009694
0.8417,-0.01207
0.85,0.023076
0.8583,0.010945
0.8667,-0.014403
0.875,-0.005271
0.8833,-0.002426
0.8917,0.018375
0.9,0.024988
0.9083,-0.000441
0.9167,0.012883
0.925,0.03392
0.9333,0.046089
0.9417,0.042002
0.95,0.087589
0.9583,0.06617
0.9667,0.066398
0.975,0.096345
0.9833,0.087441
0.9917,0.038632
1,0.029639
1.0083,0.026975
1.0167,0.030102
1.025,0.02617
1.0333,0.003855
1.0417,0.026407
1.05,-0.011036
1.0583,0.010405
1.0667,0.012096
1.075,-0.013577
1.0833,-0.108262
1.0917,-0.168054
1.1,0.144995
1.1083,0.65779
1.1167,0.920451
1.125,0.679697
1.1333,0.268085
1.1417,0.083882
1.15,0.010041
1.1583,-0.011771
1.1667,0.022172
1.175,0.018798
1.1833,0.00533
1.1917,0.006399
1.2,-0.007494
1.2083,0.015192
1.2167,-0.002967
1.225,0.031262
1.2333,0.032763
1.2417,0.047217
1.25,0.044566
1.2583,0.071474
1.2667,0.091445
1.275,0.106836
1.2833,0.13697
1.2917,0.15784
1.3,0.179514
1.3083,0.175398
1.3167,0.193107
1.325,0.199802
1.3333,0.175496
1.3417,0.156018
1.35,0.113007
1.3583,0.111499
1.3667,0.094052
1.375,0.056102
1.3833,0.036934
1.3917,0.031755
1.4,0.024306
1.4083,0.013685
1.4167,-0.001652
1.425,0.01352
1.4333,0.010981
1.4417,0.002855
1.45,-0.009832
1.4583,0.009942
1.4667,0.000732
1.475,0.005228
1.4833,0.011374
1.4917,0.026554
1.5,0.012121
1.5083,0.02357
1.5167,-0.000306
1.525,0.01104
1.5333,0.011726
1.5417,0.017426
1.55,0.016096
1.5583,0.026741
1.5667,0.015295
1.575,-0.00458
1.5833,0.005795
1.5917,0.024195
1.6,-0.007568
1.6083,0.004971
1.6167,-0.004479
1.625,-0.008696
1.6333,0.025059
1.6417,0.02534
1.65,0.00942
1.6583,-0.008834
1.6667,0.003422
1.675,0.022562
1.6833,-0.00472
1.6917,0.016206
1.7,0.021529
1.7083,-0.010269
1.7167,0.01852
1.725,0.009829
1.7333,0.024184
1.7417,-0.00112
1.75,0.022387
1.7583,0.02855
1.7667,0.038
1.775,0.042217
1.7833,0.083858
1.7917,0.082401
1.8,0.094342
1.8083,0.08405
1.8167,0.091205
1.825,0.053248
1.8333,0.051687
1.8417,0.043897
1.85,0.015773
1.8583,0.013355
1.8667,0.011782
1.875,0.027935
1.8833,0.008898
1.8917,0.001646
1.9,0.019486
1.9083,-0.012375
1.9167,-0.109208
1.925,-0.166244
1.9333,0.155188
1.9417,0.67949
1.95,0.923777
1.9583,0.709228
1.9667,0.290467
1.975,0.07044
1.9833,0.02391
1.9917,0.021689
2,0.014349
2.0083,-0.00825
2.0167,0.019971
2.025,0.011087
2.0333,0.018257
2.0417,0.025567
2.05,0.019605
2.0583,0.0266
2.0667,0.025698
2.075,0.040793
