timeSec,value
0,0
0.1,0.194796
0.2,0.026735
0.3,0.167769
0.4,0.108887
0.5,0.201593
0.6,0.123805
0.7,0.149521
0.8,0.126226
0.9,0.156865
1,0.084043
1.1,0.150152
1.2,0.204487
1.3,0.173682
1.4,0.187453
1.5,0.290034
1.6,0.119258
1.7,0.221534
1.8,0.242678
1.9,0.147464
2,0.136692
2.1,0.257897
2.2,0.250317
2.3,0.227163
2.4,0.150706
2.5,0.288299
2.6,0.168773
2.7,0.310741
2.8,0.317686
2.9,0.193124
3,0.36035
3.1,0.352992
3.2,0.250667
3.3,0.209223
3.4,0.394824
3.5,0.305248
3.6,0.292921
3.7,0.210059
3.8,0.323027
3.9,0.379768
4,0.35285
4.1,0.336779
4.2,0.372228
4.3,0.376006
4.4,0.233752
4.5,0.323055
4.6,0.312117
4.7,0.30121
4.8,0.406559
4.9,0.47905
5,0.475883
5.1,0.480037
5.2,0.385766
5.3,0.392204
5.4,0.318549
5.5,0.488741
5.6,0.482533
5.7,0.328177
5.8,0.489021
5.9,0.5
6,0.323058
6.1,0.303363
6.2,0.41205
6.3,0.40959
6.4,0.305175
6.5,0.468196
6.6,0.3
6.7,0.344284
6.8,0.478778
6.9,0.403771
7,0.435956
7.1,0.505482
7.2,0.351461
7.3,0.416097
7.4,0.442157
7.5,0.443714
7.6,0.503507
7.7,0.571885
7.8,0.554507
7.9,0.450556
8,0.545981
8.1,0.532093
8.2,0.576193
8.3,0.52578
8.4,0.570152
8.5,0.620814
8.6,0.466225
8.7,0.491601
8.8,0.562205
8.9,0.607718
9,0.513362
9.1,0.630437
9.2,0.577175
9.3,0.577736
9.4,0.582397
9.5,0.467363
9.6,0.680967
9.7,0.512138
9.8,0.51763
9.9,0.590442
10,0.63141
10.1,0.510769
10.2,0.720071
10.3,0.655203
10.4,0.513486
10.5,0.571097
10.6,0.590808
10.7,0.711433
10.8,0.743584
10.9,0.579363
11,0.624245
11.1,0.694675
11.2,0.695284
11.3,0.590918
11.4,0.778631
11.5,0.60028
11.6,0.58524
11.7,0.786345
11.8,0.8
11.9,0.604719
