timeSec,value
0,-0.035563
0.1,0.033194
0.2,-0.029107
0.3,0.020232
0.4,-0.002635
0.5,0.029249
0.6,-0.000447
0.7,0.007241
0.8,-0.002772
0.9,0.006694
1,-0.021208
1.1,0.001069
1.2,0.019094
1.3,0.006368
1.4,0.009742
1.5,0.045193
1.6,-0.018089
1.7,0.017251
1.8,0.023288
1.9,-0.012701
2,-0.018192
2.1,0.023985
2.2,0.019648
2.3,0.009684
2.4,-0.019531
2.5,0.028566
2.6,-0.016205
2.7,0.033472
2.8,0.03438
2.9,-0.01221
3,0.04659
3.1,0.042332
3.2,0.003774
3.3,-0.012795
3.4,0.052641
3.5,0.018688
3.6,0.012635
3.7,-0.018893
3.8,0.020309
3.9,0.039203
4,0.027881
4.1,0.020476
4.2,0.03168
4.3,0.031444
4.4,-0.021536
4.5,0.009119
4.6,0.003568
4.7,-0.001971
4.8,0.03448
4.9,0.059062
5,0.056318
5.1,0.056218
5.2,0.020569
5.3,0.021295
5.4,-0.006908
5.5,0.052963
5.6,0.04912
5.7,-0.008231
5.8,0.048263
5.9,0.050629
6,0.008688
6.1,0.000294
6.2,0.036186
6.3,0.033737
6.4,-0.003881
6.5,0.050754
6.6,0.691134
6.7,0.70481
6.8,0.749604
6.9,0.72213
7,0.731633
7.1,0.754016
7.2,0.699285
7.3,0.719982
7.4,0.727372
7.5,0.726309
7.6,0.745335
7.7,0.767322
7.8,0.759727
7.9,0.722269
8,0.753586
8.1,0.747195
8.2,0.760808
8.3,0.741818
8.4,0.755524
8.5,0.7714
8.6,0.716474
8.7,0.723627
8.8,0.746382
8.9,0.760482
9,0.726334
9.1,0.76512
9.2,0.745146
9.3,0.74374
9.4,0.743748
9.5,0.702466
9.6,0.77455
9.7,0.714712
9.8,0.715006
9.9,0.738523
10,0.751055
10.1,0.707839
10.2,0.778439
10.3,0.754463
10.4,0.703977
10.5,0.72225
10.6,0.727449
10.7,0.767459
10.8,0.77695
10.9,0.718701
11,0.732584
11.1,0.755279
11.2,0.753889
11.3,0.716287
11.4,0.779439
11.5,0.716317
11.6,0.709529
11.7,0.777301
11.8,0.780411
11.9,0.711448
